"iso3c.m","region","year","i.group","trade.value.USD.all","trade.value.unmatched","trade.value.unmatched.tt","trade.value.unmatched.hs4","trade.value.mismatch.costs","trade.value.mismatch.extreme.p","trade.value.mismatch.tariff","trade.value.mismatch.residual","trade.value.unmatched.im","trade.value.unmatched.im.tt","trade.value.unmatched.im.hs4"
"ABW","Latin America & Caribbean",2015,"H",964299708,841250198.289675,177308328.118164,863900792.592161,70664293.7,2163826.5,51295371.4314741,652304219.368526,302920329.312497,57689995.5324807,51831284.1550219
"AFG","South Asia",2015,"L",4748384495,2367103403.28552,874938679.164762,2797683098.54972,82850962.8,0,0,2754467353.2,275848735.054983,32724769.6947895,114074354.250228
"AGO","Sub-Saharan Africa",2015,"UM",16559412559,1548195257.04507,1011813153.85274,15476886.1021855,1429806990.4,213718821.6,1620263494.48063,9288286122.51937,539241295.69351,268443286.648812,1935970489.65768
"ALB","Europe & Central Asia",2015,"UM",4278321945,159875871.717691,230636628.442314,214195767.839996,351221045.4,744500.8,138114201.316515,1880329712.48348,443528337.039612,74822459.2116739,192332442.748714
"ARE","Middle East & North Africa",2015,"H",171797092821,4624530363.57215,1052922934.15936,6201069222.26849,21613471344.2,1565507596.6,7245053523.80714,126920988699.393,35450956180.7347,1310954084.33964,11085082616.9257
"ARG","Latin America & Caribbean",2015,"UM",57612236169,468041902.117459,357023108.469663,669218285.412878,5280131925.9,153556716.4,6319627562.60234,15397793270.0977,1179190223.90097,255341375.89309,878753987.205939
"ARM","Europe & Central Asia",2015,"LM",3026105933,110198609.489595,52188694.6249489,102050700.885456,163727523.4,21421822.8,69251183.916674,1011119093.88333,63626936.5656103,10047430.2495687,126088867.184821
"ATG","Latin America & Caribbean",2015,"H",378255385,404611652.689483,42116358.1165861,46813807.1939313,86084635.6,10220144.1,93152379.7393641,639532741.560636,178447926.996083,28093175.0837259,13665969.9201909
"AUS","East Asia & Pacific",2015,"H",185665317705,1698693951.93453,1908998475.82201,3553263416.24346,17806242269,1106098581.8,5030932602.83318,65093562727.3668,9121151030.12524,3286622710.51523,34476547298.3595
"AUT","Europe & Central Asia",2015,"H",142425901971,700751252.739376,408344156.603595,1183707277.65703,14231616488.9,332242305.8,4826007995.21316,55244662955.0868,2928124023.64516,1346329860.11667,7327977431.23817
"AZE","Europe & Central Asia",2015,"UM",9054287325,616909070.785594,389654281.181333,558462590.033073,927136441.7,769742087,727817907.010059,4923796390.28994,4735689503.20415,213669260.718747,198659580.077106
"BDI","Sub-Saharan Africa",2015,"L",520762495,17815078.7240897,30796093.0521939,56800791.2237164,24503533.6,113985.6,25516501.4922711,197280719.307729,46047056.193467,6688509.72027131,11367102.0862617
"BEL","Europe & Central Asia",2015,"H",368177007449,1832410624.13777,1677004008.51938,3836473858.34285,33041271743.7,2189186766.7,0,134045989929.6,1549218028.82079,1067215585.04835,8702397095.13086
"BEN","Sub-Saharan Africa",2015,"L",2320213721,126587140.40203,317097246.064584,955951980.533386,543582874.3,1646804.6,995762328.690132,3633666763.40987,336631188.889412,16200653.0341492,17207488.0764388
"BFA","Sub-Saharan Africa",2015,"L",2735205778,173654728.576552,67810945.6733392,104517018.750109,171992821.4,2838282.2,194618777.031386,1518431484.36861,189874438.562794,44990635.6750658,9863674.76213995
"BGD","South Asia",2015,"LM",45890987783,1050971310.92421,289853384.833155,1587846973.24264,3727276222.3,49921372.5,4446392625.67563,21501718611.5244,518402898.942931,209281661.758501,732588192.298568
"BGR","Europe & Central Asia",2015,"UM",28631919113,617094279.684465,368017463.491903,590761950.823632,2585004206.9,40133446.7,872955855.633372,9202113321.76663,479042543.952175,311052948.731104,1631718323.31672
"BHR","Middle East & North Africa",2015,"H",16203607407,497217568.160711,171321708.993542,410936501.845746,1070858488.1,49648370.3,390267482.715005,6673727100.88499,583141171.312557,223108412.711431,1044024961.97601
"BHS","Latin America & Caribbean",2015,"H",2995846369,4941086768.28347,841725668.233665,292670736.482867,346693222.6,19982104.7,548914603.022091,2122875160.67791,1202882692.04437,49275418.5033906,88346958.4522381
"BIH","Europe & Central Asia",2015,"UM",8935954507,76348731.5984195,47606244.8540626,106023292.547518,718179067.100001,3015958.1,415232219.217312,2913988903.58269,211579915.898781,123893148.433619,328844108.6676
"BLR","Europe & Central Asia",2015,"UM",29496912800,495688461.198036,207195841.16779,459493620.634174,2034057336.1,80445424.9,813445849.426356,7015760762.57364,333863598.684404,106613976.292985,357936704.022611
"BLZ","Latin America & Caribbean",2015,"UM",897702949,118913661.302826,38934147.7263587,62105149.970815,68897443.3,1103246.7,77466650.8754164,403971546.124584,186598049.014707,14192330.3023838,47287709.6829095
"BMU","North America",2015,"H",920556244,2243634668.24973,211287942.912654,268039440.837619,114285398.7,71414255.1,168389965.67763,754733751.52237,46063023.5768952,75912367.5664151,26051066.8566897
"BOL","Latin America & Caribbean",2015,"LM",9714477444,412530688.896299,74911254.2137222,266622959.889979,669499636,42253953.1,624501591.37581,4117506669.52419,287260863.856743,45033045.2704867,60680728.8727706
"BRA","Latin America & Caribbean",2015,"UM",163136422322,4489850651.52951,785957274.542658,1530956092.92783,14933992438.6,318553658,16419084798.1837,47569865127.2163,3284185773.0117,1070285637.92644,4179614623.06186
"BRB","Latin America & Caribbean",2015,"H",1602594677,47078396.0067459,34515937.7884183,63508717.2048358,121740307.3,1985553.6,0,801408954.1,44701500.3856777,6256161.84218067,21360487.7721417
"BRN","East Asia & Pacific",2015,"H",3170584639,132174528.218621,162736162.487592,230884349.293787,424821246.3,30814855.6,0,3329807914.1,63728838.2230547,12260337.0510625,23731199.7258828
"BWA","Sub-Saharan Africa",2015,"UM",7154376806,25704443.9945477,54143208.2665342,46330516.7389181,648653070,196743950.6,350094903.516986,1186941116.88301,151059843.240184,18483396.1808441,27409784.5789722
"CAF","Sub-Saharan Africa",2015,"L",448610047,66663704.9124652,47497985.6752867,39032546.4122481,13878020.4,257482.2,19706401.3532504,151223107.04675,17007531.421239,7473687.4068353,15666598.1719257
"CAN","North America",2015,"H",413723119277,710783030.365134,324271954.874499,2003104252.76037,40356440063,605146848.5,9526960472.85235,115183804612.648,4404572103.55923,1299706846.62331,5754976414.81745
"CHE","Europe & Central Asia",2015,"H",245357249491,5666606872.64709,2085155805.52664,3956797586.82627,23562332823.2,5396828672.3,0,119095363088.5,3644352523.95592,1307747191.44527,5934869960.5988
"CHL","Latin America & Caribbean",2015,"H",60410392727,3919351836.1588,411151045.452494,1036516038.38871,5395250284.60001,112009363.7,3232239750.82,15999478631.88,1362411566.87699,289561522.285186,741200658.837825
"CHN","East Asia & Pacific",2015,"UM",1483579069816,13762706136.6222,2025596649.39493,16592356062.9828,124113731464.8,5560099932.4,49628452008.0841,689840634878.716,148521650728.525,3435840952.63876,18204283942.8365
"CIV","Sub-Saharan Africa",2015,"LM",7509316500,236716763.09712,214131237.047826,280881076.855054,672195041.2,23514648.2,728102196.67577,3354644284.92423,471303745.112691,166009566.159697,401747644.727612
"CMR","Sub-Saharan Africa",2015,"LM",5089508245,164449852.1522,156170140.425667,167146356.422133,475134777.6,279364100.9,0,3040773465.5,211200804.264918,79194526.5144241,285107348.220658
"COL","Latin America & Caribbean",2015,"UM",51576632868,292602534.638645,292538078.207113,1029763863.15424,4729662778,119091043.1,3152956257.66638,17139593395.2336,502130878.030419,176748836.701906,1521629614.26768
"CPV","Sub-Saharan Africa",2015,"LM",591513512,25357571.4432012,66720828.8936152,28654760.6631835,51000115.3,708754.7,64228193.6230603,175744915.37694,4378519.86404921,5741064.58324061,2920509.55271018
"CRI","Latin America & Caribbean",2015,"UM",14952443741,693743179.843902,113246835.477975,200574004.678123,1252535837.6,35993481.9,0,6459737562.5,833090895.736679,101812805.262729,328799598.000592
"CYM","Latin America & Caribbean",2015,"H",395743586,1453598070.65182,375491765.718603,422508164.629581,24906603.1,0,0,267933939.9,NA,NA,NA
"CYP","Europe & Central Asia",2015,"H",5563191892,893914592.071811,331459749.194255,359454774.733934,684390844.300001,17239525,261730850.634279,3293014228.06572,1124360469.54747,253322283.85238,466100485.600153
"CZE","Europe & Central Asia",2015,"H",138762535266,1373723397.31602,358586176.865092,832437171.818886,12461949913.6,161236187.5,3896990100.06364,60341300029.8364,973419864.978516,801807225.019471,1656555656.00201
"DEU","Europe & Central Asia",2015,"H",1041826385789,2809837934.97802,2507957479.03999,16194555580.982,94890642855.0999,5415543413.8,0,435018436990.1,6974635663.62564,5078558723.42968,18436002430.9447
"DNK","Europe & Central Asia",2015,"H",83336826615,428962456.00553,800535834.939039,1587596531.05543,8161220480.5,232090150.7,0,33271605625.8,1376942668.28807,816070047.292051,8575237933.41988
"DOM","Latin America & Caribbean",2015,"UM",16700656492,108035627.647062,175295359.648023,484522833.704915,1431765386.5,13993298.9,1183532147.90216,10706444512.6978,254836108.440977,73261061.7092054,470217716.849817
"DZA","Middle East & North Africa",2015,"UM",51551054699,1306882350.72495,541677352.808989,1942836905.46606,4312378252.8,117277218.6,5502712006.09301,18347847131.507,2036331900.06187,362697484.554012,1971028551.38411
"ECU","Latin America & Caribbean",2015,"UM",21089420507,249878789.258279,242924790.578287,427745336.163434,1728210036.4,26081515.7,1369352356.91656,8377994233.98344,392257185.676667,123102984.254126,178144431.069207
"EGY","Middle East & North Africa",2015,"LM",73071903234,1815317809.18435,1697845920.26073,5823167432.55491,5922415997.7,8979787.6,6969525654.90003,36881168238.8,3338592826.95765,757659153.043189,2705858439.99916
"ESP","Europe & Central Asia",2015,"H",292367305404,1116197987.4547,573789847.701947,2542202591.84335,28281867411.2,1171138843.8,0,113376463448,1562420770.20474,1186994609.12129,5754058236.67397
"EST","Europe & Central Asia",2015,"H",14812595691,170095105.462507,258677896.835519,436784803.701974,1577763305.6,128671664.8,539415635.964352,8310890116.63565,474205086.673256,198552129.765312,543046467.561432
"ETH","Sub-Saharan Africa",2015,"L",19854914265,260188027.06881,201983031.683249,580632866.247941,906822500.6,27424581.6,989724280.808403,12295201874.9916,254053472.045548,37198244.490579,538433347.463873
"FIN","Europe & Central Asia",2015,"H",57669102693,896583714.78821,709081831.819695,1756545090.3921,5708935814.3,168323721.1,1845517104.08744,22028197524.5126,2465572906.4593,817959772.914812,4514250709.62589
"FJI","East Asia & Pacific",2015,"UM",2018251848,101108172.896556,86290306.0770563,144195816.026388,163356183.5,5401092.5,178392582.581755,1298687570.41824,40715166.8345441,17450532.3591159,80478768.8063399
"FRA","Europe & Central Asia",2015,"H",544408777788,1467239750.57076,1025153676.03785,7989243429.39139,54337954689.1001,1120440572.1,0,242331183301.8,7264828531.63228,2613960361.57224,12415723420.7955
"GBR","Europe & Central Asia",2015,"H",616885107251,6570483792.85503,1880164886.90478,12004457965.2402,58625393591.2,1790962406.2,22550183188.84,211227440006.76,7216768636.69839,2394077665.48816,10916503249.8135
"GEO","Europe & Central Asia",2015,"UM",7046400891,115417712.580461,190887802.820347,230723337.599192,657173440.5,593554267.9,127839544.938543,2605857565.66146,247537965.290971,66627903.2416626,215280132.467367
"GIN","Sub-Saharan Africa",2015,"L",2034571119,118310006.383077,247066183.089357,427794483.527565,260945294.2,4391141.4,0,2117929182.4,235906373.149823,50351892.8380985,60860867.0120789
"GMB","Sub-Saharan Africa",2015,"L",399868706,89310679.2728698,91182754.2732616,219775644.453869,56941232.6,366512.3,0,432731846.1,15146261.9661996,7687274.91717887,58787944.1166216
"GRC","Europe & Central Asia",2015,"H",46397476392,390036849.193453,460302045.699694,735370565.106853,4054553202.2,165895175,0,16496226442.8,809443085.19283,266242688.918093,997167837.889077
"GRL","Europe & Central Asia",2015,"H",583900932,32581245.5364542,23808424.7827766,32942960.6807692,57295549.6,530182.6,0,116794800.8,85696783.5683691,119504427.635329,145522853.796301
"GTM","Latin America & Caribbean",2015,"LM",17427822430,192740867.903726,160915924.797654,220721050.29862,1480734697.6,33090258,756705081.710507,5665736570.68949,819815407.226393,107728938.79965,433775065.973957
"GUY","Latin America & Caribbean",2015,"UM",2064984830,87254104.3933213,52570097.8371861,82308224.7694925,97767727.6,4159628.7,132620659.917061,627051456.782939,57532575.1393806,32561461.9736297,94488418.8869897
"HKG","East Asia & Pacific",2015,"H",522390212394,4520638744.88136,1960750978.1626,5324572794.95604,59948126654.1,1887095211.2,0,237406931104.7,1215714703.94727,640610133.821764,2686324978.23097
"HND","Latin America & Caribbean",2015,"LM",8242133524,241934153.7798,176062858.960564,1073202154.25964,928706265.4,8541126.8,576116513.514882,5118016342.28512,867913303.751086,89248185.5863144,1182281251.6626
"HRV","Europe & Central Asia",2015,"H",20170752712,741490218.695705,423330952.912791,369491395.391504,1847561171.7,63145687.6,715900226.859771,5387473999.84023,321055149.702695,157346158.264318,425105981.032987
"HUN","Europe & Central Asia",2015,"H",90089264740,1002104352.21226,1418745070.79992,1200586911.98782,8348149305,265854189,0,35907255993,731190733.023485,545562332.495399,1820346798.48112
"IDN","East Asia & Pacific",2015,"LM",137567179043,1142311523.38711,863907159.035616,3423471110.57727,13472776723.4,166083090.8,0,61460693281.8,4203385106.03627,1168810333.76977,5412742208.19396
"IND","South Asia",2015,"LM",349365032224,1805066227.46735,1519731803.48473,4860235585.04791,28203276694.5,1880125824.1,25103864264.6949,99698041192.7051,1446693310.22618,948129020.882292,5370399696.89153
"IRL","Europe & Central Asia",2015,"H",75115084986,1255673318.45475,589977436.173517,989177509.371738,6674832946.5,641504833.3,0,44488058306.2,2180225528.05806,834502590.302771,3407855912.63917
"IRQ","Middle East & North Africa",2015,"UM",NA,NA,NA,NA,NA,NA,NA,NA,52292028622.0909,671363403.195274,225405124.713806
"ISL","Europe & Central Asia",2015,"H",5175154855,65810551.4149339,86246046.5619791,181166239.023087,420986567.3,26517540.6,94445051.6039656,2414586187.49603,221533824.807835,139067208.411227,488445041.780938
"ISR","Middle East & North Africa",2015,"H",54579740000,2112632569.82592,1660606389.2668,1880422186.90728,5764046735.4,6602849.1,1522217111.8042,29681482893.6958,5335262453.27007,762183354.814403,2681746163.91553
"ITA","Europe & Central Asia",2015,"H",399195043234,2334004606.48069,1134298471.10719,3039232985.41212,38221710221.9,630164218.9,0,114921426099.2,1385291741.26742,1039210939.01545,4376806864.71712
"JAM","Latin America & Caribbean",2015,"UM",4468606620,85624957.8322718,102603763.150347,152574557.017381,389196209.5,50458437.2,454710112.914734,1771853048.38527,100443111.507445,35020234.0705414,82937227.422014
"JOR","Middle East & North Africa",2015,"UM",19400811278,695227911.148064,586033496.417303,1523832932.43463,1586935397.9,1356297667.8,1437569248.74543,8117735492.55457,1618793062.59406,196380237.920465,1599559268.48548
"JPN","East Asia & Pacific",2015,"H",592137548033,5020599252.40246,1112156478.53978,6497858580.05776,49395058778.2,5542811481.1,9997449398.07298,193485905433.627,2506488960.7769,3198077737.74488,9180548203.47821
"KAZ","Europe & Central Asia",2015,"UM",29420220567,327596740.712997,224303878.566015,1000670540.72099,2872921543.8,230556836.1,1548757498.39684,12988501225.7032,1624478486.08919,180432846.545452,599353601.365362
"KGZ","Europe & Central Asia",2015,"LM",3986747252,57189915.2951449,73085361.7567332,403095854.948122,655168387.8,130974815.4,306746597.97805,3854093505.82195,49845123.5322701,22258208.574862,14666379.8928679
"KHM","East Asia & Pacific",2015,"LM",10034980314,425657995.526665,966666696.850839,1845078544.6225,1269653082.5,85979712.5,0,12403901438,651993765.837292,235378118.367602,2183528186.79511
"KIR","East Asia & Pacific",2015,"LM",103419969,37029825.9618924,17198956.1280895,30921424.910018,8393452.4,652380.3,0,64151222.3,11651667.6053466,6744832.2890645,106574262.105589
